z,mu_mean,mu_sigma,dl_mpc_mean,dl_mpc_sigma
2.38,46.00032896941654,0.22765272895606067,15937.484249116382,1671.1270715243347
2.3899999999999997,46.00681726360384,0.2297037350541762,15986.757384904562,1691.8389578368817
2.4,46.01324550545995,0.23175583347319043,16035.755088881459,1712.6432549818787
2.4099999999999997,46.01961438728928,0.2338088374846701,16084.478923836537,1733.5384700615
2.42,46.02592459206415,0.23586256484459206,16132.930454094909,1754.5231318773924
2.4299999999999997,46.0321767935605,0.23791683770143368,16181.111245073034,1775.59579069451
2.44,46.038371656492004,0.23997148250553654,16229.022862850587,1796.7550179933285
2.4499999999999997,46.04450983664204,0.2420263299198111,16276.666873758164,1817.9994062117835
2.46,46.050591980994135,0.24408121473182237,16324.044843980282,1839.3275684781504
2.4699999999999998,46.05661872786057,0.24613597576727306,16371.158339173267,1860.7381383358693
2.48,46.06259070700929,0.2481904558049345,16418.008924097616,1882.2297694614947
2.4899999999999998,46.06850853978891,0.25024450149302035,16464.598162264425,1903.8011353765894
2.5,46.07437283925212,0.25229796326703746,16510.927615595367,1925.4509291545955
2.51,46.080184210277324,0.2543506952691112,16556.998844095986,1947.1778631234392
2.52,46.08594324968868,0.25640255526880174,16602.813405541765,1968.9806685647147
2.53,46.09165054637415,0.25845340458539556,16648.372855176684,1990.8580954100808
2.54,46.09730668140236,0.2605031080116933,16693.67874542386,2012.8089119356853
2.55,46.102912228137185,0.2625515337392658,16738.73262560784,2034.8319044550701
2.56,46.108467752351274,0.26459855328519233,16783.53604168843,2056.925877011379
2.57,46.11397381233762,0.2666440414202477,16828.09053600521,2079.089651069093
2.5799999999999996,46.11943095901951,0.2686878760985511,16872.397647033205,2101.3220652061236
2.59,46.12483973605898,0.27072993838864107,16916.458909148387,2123.6219748064373
2.5999999999999996,46.130200679963636,0.2727701124059711,16960.27585240367,2145.988251753856
2.61,46.135514320191945,0.27480828524681133,17003.850002314306,2168.4197841272735
2.6199999999999997,46.14078117925699,0.27684434692352833,17047.182879652817,2190.9154758977224
2.63,46.1460017728286,0.2788781903012332,17090.276000253118,2213.474246627617
2.6399999999999997,46.15117660983395,0.2809097110357742,17133.130874823335,2236.095031172438
2.65,46.15630619255688,0.2829388075130435,17175.749008767274,2258.776779385137
2.6599999999999997,46.16139101673551,0.28496538078960093,17218.13190201413,2281.5184558235765
